feature,fold_1,fold_2,fold_3,fold_4,fold_5,mean_imp,std_imp,pos_ratio
ix_path_vs_bbox_area,0.0004446964077161608,0.0004953050371677703,0.0015753041057455786,0.000594069974706235,-1.2418415669679383e-05,0.000619391421933213,0.0005829900694976019,0.8
hd_turn_sign_change_ratio,0.0008263858135605373,0.0005312869007352283,0.0005240130614938554,0.000501890853175424,0.0006677511190644747,0.000610265549605904,0.00013732693899700795,1.0
turn_p10,0.0005208680858069803,0.00020766298944996375,0.0004780555006123066,0.0014438324779485479,0.000347967376945979,0.0005996772861527555,0.0004875022625140437,1.0
speed_cv,0.0009455491252904347,0.0008082335014721886,0.000675493684304751,-0.0001984929869814911,0.0007536710249231859,0.0005968908698018138,0.0004554179910260676,0.8
rv_curvature_product,0.0012743482469247391,0.0009438082548497428,0.00027410076868628064,0.00036139115566824476,4.9631963647600585e-05,0.0005806560779553216,0.0005091974574356069,1.0
hd_total_turn,0.0006986599957169437,0.0004994457429282617,0.000788964312686935,0.0004984927889897239,0.0003868406594811358,0.0005744806999606,0.00016434484309248916,1.0
ix_speed_peak_ratio,0.0007029168231579286,0.00027728109332447737,0.0004138187710364116,0.000731603581838991,0.0007233075718924287,0.0005697855682500474,0.000210572146687396,1.0
energy_xy_mean,0.0012437590490490535,0.0002583640601394599,0.0009387670608284049,-6.769602264589114e-05,0.0004748081696479556,0.0005696004634037965,0.0005250652969052921,0.8
curv_p50,0.0005862027182264029,0.0005107738359685365,0.0007207740054244738,0.0005976703054577648,0.00042190035578815177,0.0005674642441730659,0.00011087162331642638,1.0
radius_of_gyration,0.0001953971873119853,0.0008000888568066022,0.0011253040956870075,0.0004114920539997069,0.00018600655438827385,0.0005436577496387152,0.0004094926594075346,1.0
ix_directional_persistence,0.0008115646035135038,0.00033103032174708336,0.0004107003885293059,0.0008794498152504548,0.0002753271400665058,0.0005416144538213707,0.0002825769441188907,1.0
ix_curv_speed_ratio,0.0009439940760817,0.0005572147727636034,0.0005008053542909785,0.0004700296697204287,0.00023248578421009025,0.0005409059314133602,0.00025714806952238217,1.0
ix_displacement_perimeter_ratio,0.0004895537027649333,0.0006324375298876195,0.00019780453185125335,0.001187089005338704,0.00016762649765889037,0.0005349022535002801,0.0004139575869691042,1.0
hd_heading_r,0.000959274949412614,0.0004036898730559457,0.00013019213095655235,0.0009867455184209284,0.00017560203724265033,0.0005311009018177382,0.00041661909677515654,1.0
speed_acf1,0.0004985050034269634,0.00019123359880368618,0.000501876059683104,0.00037284945672577674,0.0010904922702160702,0.0005309912777711201,0.0003374124073270113,1.0
climb_rate_std,0.00023008450401251768,0.00031422968186023414,0.00025153541925260203,0.0007553395375610172,0.0010617060564885872,0.0005225790398349917,0.00036988597638339235,1.0
ix_heading_stability,0.0003876344681668087,0.001086330233283861,0.00020502133163735614,0.0007885551345858666,0.00011875883000145304,0.000517259999535069,0.00040943281728320123,1.0
energy_xy_p90,0.0013549630345842667,-9.427696401931307e-05,0.0005884811593682704,0.00044367473808415436,0.0001517536783872675,0.0004889191292809292,0.0005513143212360637,0.8
ix_perimeter_area_ratio,0.0002765273572847837,0.0004416709617515169,0.0007690060714325986,0.0006107095180238886,0.0003424420710953502,0.0004880711959176276,0.00020129343116476894,1.0
ix_speed_stability,0.0009615955623454298,0.000404789489195867,0.0003719665553810758,0.0008667964932860261,-0.0002386241506824316,0.0004733047899051934,0.0004782965083851764,0.8
