iter	Passed	Remaining
1464	17311	41772
1465	17323	41759
1466	17334	41746
1467	17346	41735
1468	17359	41725
1469	17370	41712
1470	17381	41699
1471	17393	41687
1472	17404	41672
1473	17416	41662
1474	17428	41651
1475	17440	41639
1476	17451	41627
1477	17463	41615
1478	17475	41604
1479	17487	41592
1480	17498	41578
1481	17510	41566
1482	17521	41554
1483	17533	41542
1484	17544	41528
1485	17555	41514
1486	17568	41504
1487	17580	41493
1488	17592	41482
1489	17604	41470
1490	17616	41460
1491	17627	41446
1492	17640	41436
1493	17651	41423
1494	17663	41410
1495	17675	41399
1496	17686	41386
1497	17698	41374
1498	17710	41363
1499	17722	41353
1500	17735	41342
1501	17746	41328
1502	17758	41318
1503	17770	41306
1504	17781	41293
1505	17793	41281
1506	17804	41269
1507	17815	41255
1508	17827	41243
1509	17838	41230
1510	17850	41216
1511	17862	41206
1512	17874	41194
1513	17885	41181
1514	17896	41168
1515	17908	41156
1516	17919	41143
1517	17931	41131
1518	17943	41119
1519	17954	41107
1520	17965	41093
1521	17977	41081
1522	17988	41067
1523	18000	41055
1524	18010	41040
1525	18021	41026
1526	18032	41014
1527	18044	41001
1528	18056	40989
1529	18068	40978
1530	18079	40965
1531	18091	40952
1532	18103	40941
1533	18114	40928
1534	18125	40915
1535	18137	40903
1536	18149	40892
1537	18161	40880
1538	18172	40868
1539	18183	40854
1540	18195	40843
1541	18207	40830
1542	18218	40817
1543	18229	40804
1544	18241	40791
1545	18251	40776
1546	18262	40762
1547	18274	40751
1548	18285	40738
1549	18297	40726
1550	18308	40711
1551	18319	40699
1552	18330	40686
1553	18342	40675
1554	18354	40663
1555	18366	40650
1556	18377	40637
1557	18388	40624
1558	18399	40611
1559	18410	40598
1560	18422	40586
1561	18433	40573
1562	18445	40560
1563	18456	40548
1564	18467	40534
1565	18479	40522
1566	18490	40509
1567	18502	40498
1568	18514	40485
1569	18525	40472
1570	18536	40459
1571	18547	40445
1572	18559	40434
1573	18571	40422
1574	18582	40409
1575	18593	40395
1576	18603	40381
1577	18615	40368
1578	18626	40355
1579	18638	40343
1580	18649	40330
1581	18660	40317
1582	18672	40305
1583	18683	40292
1584	18694	40279
1585	18705	40265
1586	18717	40254
1587	18730	40244
1588	18742	40233
1589	18754	40221
1590	18766	40209
1591	18777	40197
1592	18790	40187
1593	18800	40171
1594	18812	40161
1595	18823	40147
1596	18834	40134
1597	18845	40121
1598	18857	40109
1599	18869	40096
1600	18881	40085
1601	18891	40071
1602	18903	40060
1603	18915	40047
1604	18926	40033
1605	18937	40021
1606	18949	40009
1607	18961	39997
1608	18972	39984
1609	18984	39973
1610	18996	39962
1611	19007	39949
1612	19019	39937
1613	19031	39925
1614	19042	39913
1615	19053	39899
1616	19065	39887
1617	19077	39876
1618	19089	39864
1619	19102	39855
1620	19113	39842
1621	19124	39829
1622	19135	39816
1623	19146	39802
1624	19159	39792
1625	19170	39779
1626	19181	39766
1627	19192	39752
1628	19204	39740
1629	19214	39726
1630	19227	39715
1631	19238	39702
1632	19248	39688
1633	19259	39673
1634	19271	39663
1635	19284	39653
1636	19296	39641
1637	19308	39629
1638	19320	39618
1639	19332	39607
1640	19343	39594
1641	19354	39582
1642	19365	39568
1643	19376	39555
1644	19388	39542
1645	19399	39529
1646	19410	39516
1647	19422	39504
1648	19432	39490
1649	19444	39478
1650	19455	39464
1651	19467	39452
1652	19478	39439
1653	19490	39428
1654	19502	39417
1655	19514	39405
1656	19526	39394
1657	19537	39382
1658	19549	39369
1659	19560	39356
1660	19571	39343
1661	19582	39330
1662	19593	39316
1663	19604	39302
1664	19614	39288
1665	19627	39278
1666	19639	39267
1667	19650	39253
